"PROBEID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B","CONDITION"
"208864_s_at","TXN","thioredoxin",0.722154284751737,8.08667547756102,7.25499566957917,6.86734809178743e-10,6.76865696483469e-06,12.2667967665251,1
"216609_at","TXN","thioredoxin",0.774299243118552,7.90872506993809,7.21885255124467,7.94655071884675e-10,6.76865696483469e-06,12.1304587248596,1
"218095_s_at","TMEM165","transmembrane protein 165",0.734483642369136,6.12569466384973,6.87611292354514,3.162610195939e-09,9.88724965197471e-06,10.8395559151675,1
"208995_s_at","PPIG","peptidylprolyl isomerase G",0.974442230177826,4.28118548632046,6.74455188962305,5.36436037244521e-09,1.54205023889658e-05,10.3454566332848,1
"208808_s_at","HMGB2","high mobility group box 2",0.703888117951102,8.72013501281657,6.68893892151436,6.70430987654199e-09,1.69673312861227e-05,10.1369140909709,1
"201472_at","VBP1","VHL binding protein 1",0.885321273368985,6.64536219997847,6.58036143344745,1.03537336937315e-08,2.44666338804505e-05,9.73039606549949,1
"222934_s_at","CLEC4E","C-type lectin domain family 4 member E",0.829040506671773,8.17927583403673,6.51530528713874,1.34266302205107e-08,2.83083158052539e-05,9.48726954264696,1
"204971_at","CSTA","cystatin A",1.1683342623791,8.92658924521556,6.49809382184616,1.43813296468635e-08,2.83083158052539e-05,9.42300771152453,1
"211922_s_at","CAT","catalase",0.589851616162104,8.18896764091087,6.46873251356134,1.61681612917245e-08,2.91307555210556e-05,9.31344352860666,1
"225207_at","PDK4","pyruvate dehydrogenase kinase 4",1.38028426540008,4.55043489768521,6.45627170196259,1.69916161053817e-08,2.91307555210556e-05,9.26696878199666,1
"222408_s_at","YPEL5","yippee like 5",0.50872147145787,9.85051768182958,6.43082854192918,1.88046059341049e-08,3.02851027751477e-05,9.17211934213091,1
"217801_at","ATP5F1E","ATP synthase F1 subunit epsilon",0.600078463539369,9.61973106731744,6.36984473638522,2.3970426713955e-08,3.63987505304733e-05,8.9450344622818,1
