PROBEID,SYMBOL,GENENAME,LOGFC,AVEEXPR,T,P.VALUE,ADJ.P.VAL,B,CONDITION,TIME
218338_at,PHC1,polyhomeotic homolog 1,-0.538575447,5.773663681,-7.425834787,3.44E-10,5.82E-06,12.91149755,1,4.8
210866_s_at,CNOT4,CCR4-NOT transcription complex subunit 4,-0.427982782,7.562386769,-7.366254886,4.38E-10,5.82E-06,12.68662214,1,12.65
208864_s_at,TXN,thioredoxin,0.722154285,8.086675478,7.25499567,6.87E-10,6.77E-06,12.26679677,0,7.19
204220_at,GMFG,glia maturation factor gamma,0.497890438,10.07459585,7.162468097,9.98E-10,6.77E-06,11.91782481,0,39.91
1555568_at,GUSBP2,GUSB pseudogene 2,-0.659265458,6.750636569,-7.137515473,1.10E-09,6.77E-06,11.8237507,1,25.46
1560861_at,SKAP1-AS2,SKAP1 antisense RNA 2,-0.660919315,8.263460881,-7.095242183,1.31E-09,6.95E-06,11.66441693,1,46.62
212650_at,EHBP1,EH domain binding protein 1,-0.499093551,7.605934152,-7.015469243,1.80E-09,8.72E-06,11.36390332,1,43.4
232207_at,GUSBP4,GUSB pseudogene 4,-0.601845414,5.452769202,-6.965800354,2.20E-09,9.75E-06,11.17691773,1,42.25
200895_s_at,FKBP4,FKBP prolyl isomerase 4,-0.451113264,7.486911859,-6.946277335,2.38E-09,9.75E-06,11.1034493,1,44.88
239288_at,TNIK,TRAF2 and NCK interacting kinase,-0.661796116,9.241337293,-6.906357193,2.80E-09,9.89E-06,10.95327745,1,35.09
212064_x_at,MAZ,MYC associated zinc finger protein,-0.367818274,9.341801852,-6.878813891,3.13E-09,9.89E-06,10.84970994,1,34.63
218095_s_at,TMEM165,transmembrane protein 165,0.734483642,6.125694664,6.876112924,3.16E-09,9.89E-06,10.83955592,0,40.05
208995_s_at,PPIG,peptidylprolyl isomerase G,0.97444223,4.281185486,6.74455189,5.36E-09,1.54E-05,10.34545663,0,37.78
208808_s_at,HMGB2,high mobility group box 2,0.703888118,8.720135013,6.688938922,6.70E-09,1.70E-05,10.13691409,0,12.52
201472_at,VBP1,VHL binding protein 1,0.885321273,6.6453622,6.580361433,1.04E-08,2.45E-05,9.730396065,0,9.86
222934_s_at,CLEC4E,C-type lectin domain family 4 member E,0.829040507,8.179275834,6.515305287,1.34E-08,2.83E-05,9.487269543,0,32.06
204971_at,CSTA,cystatin A,1.168334262,8.926589245,6.498093822,1.44E-08,2.83E-05,9.423007712,0,31.14
226252_at,ZBTB20,zinc finger and BTB domain containing 20,-0.496167358,6.751674597,-6.483402341,1.52E-08,2.89E-05,9.368175473,1,33.31
211922_s_at,CAT,catalase,0.589851616,8.188967641,6.468732514,1.62E-08,2.91E-05,9.313443529,0,11.96
225207_at,PDK4,pyruvate dehydrogenase kinase 4,1.380284265,4.550434898,6.456271702,1.70E-08,2.91E-05,9.266968782,0,21.71
233015_at,MBNL1,muscleblind like splicing regulator 1,-0.365651191,7.908815569,-6.431657701,1.87E-08,3.03E-05,9.17520939,1,32.72
222408_s_at,YPEL5,yippee like 5,0.508721471,9.850517682,6.430828542,1.88E-08,3.03E-05,9.172119342,0,21.12
212660_at,JADE2,jade family PHD finger 2,-0.398971403,6.313496652,-6.394735807,2.17E-08,3.39E-05,9.037676443,1,36.5
217801_at,ATP5F1E,ATP synthase F1 subunit epsilon,0.600078464,9.619731067,6.369844736,2.40E-08,3.64E-05,8.945034462,0,17.38
211368_s_at,CASP1,caspase 1,0.67862434,8.113910694,6.343316056,2.66E-08,3.86E-05,8.846367467,0,31.87
224356_x_at,MS4A6A,membrane spanning 4-domains A6A,0.573610238,9.32689165,6.341150838,2.69E-08,3.86E-05,8.838317713,0,21.48
210892_s_at,GTF2I,general transcription factor IIi,-0.425259835,7.759185529,-6.322315742,2.90E-08,4.05E-05,8.768314426,1,32.42
209127_s_at,SART3,"spliceosome associated factor 3, U4/U6 recycling protein",-0.429673231,9.112480169,-6.279276487,3.43E-08,4.25E-05,8.608497657,1,31.6
222201_s_at,CASP8AP2,caspase 8 associated protein 2,0.642716595,3.55219198,6.266901466,3.61E-08,4.36E-05,8.562583949,0,22.54
228065_at,BCL9L,BCL9 like,-0.515510033,5.626742698,-6.242627406,3.97E-08,4.47E-05,8.472573386,1,29.17
213817_at,IRAK3,interleukin 1 receptor associated kinase 3,0.940854438,5.219623937,6.230418672,4.17E-08,4.47E-05,8.427328099,0,14.42
238100_at,AAK1,AP2 associated kinase 1,-0.55783564,6.830840909,-6.228297651,4.20E-08,4.47E-05,8.419469431,1,33.51
223738_s_at,PGM2,phosphoglucomutase 2,0.502432123,6.875503746,6.220437814,4.34E-08,4.52E-05,8.390352326,0,8.44
1563975_at,RNF130,ring finger protein 130,0.696251816,5.85941841,6.196005469,4.78E-08,4.62E-05,8.299888912,0,35.12
211676_s_at,IFNGR1,interferon gamma receptor 1,0.611429715,7.700522412,6.189046177,4.91E-08,4.62E-05,8.274134624,0,55.12
78383_at,SMIM27,small integral membrane protein 27,0.527366925,6.058877396,6.18630151,4.96E-08,4.62E-05,8.263979054,0,1.94
208066_s_at,GTF2B,general transcription factor IIB,0.59443648,7.021515895,6.185956103,4.97E-08,4.62E-05,8.262701073,0,26.97
214467_at,GPR65,G protein-coupled receptor 65,0.748180713,6.585865929,6.183535149,5.02E-08,4.62E-05,8.253744148,0,4.01
208736_at,ARPC3,actin related protein 2/3 complex subunit 3,0.291867736,9.912838023,6.157533652,5.56E-08,4.85E-05,8.157591025,0,3.02
226587_at,PWAR6,Prader Willi/Angelman region RNA 6,-0.703696224,4.201276578,-6.146397927,5.81E-08,4.93E-05,8.1164373,1,29.14
222139_at,ERV3-2,endogenous retrovirus group 3 member 2,1.469314562,4.507401961,6.131056593,6.17E-08,5.13E-05,8.059767082,0,13.01
236465_at,RNF175,ring finger protein 175,0.690160511,8.024660844,6.12217093,6.39E-08,5.23E-05,8.026957738,0,5.03
222895_s_at,BCL11B,BCL11 transcription factor B,-0.576053252,8.707207026,-6.112446522,6.65E-08,5.35E-05,7.991063223,1,27.07
225919_s_at,C9orf72,C9orf72-SMCR8 complex subunit,0.661133534,7.265470491,6.101772932,6.93E-08,5.43E-05,7.951679439,0,25.03
232198_at,MCM8,minichromosome maintenance 8 homologous recombination repair factor,-0.622414089,5.204683423,-6.095168002,7.11E-08,5.48E-05,7.927315914,1,22.5
228585_at,ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1,0.789979073,5.488947218,6.068645973,7.90E-08,5.91E-05,7.829543464,0,11.99
202723_s_at,FOXO1,forkhead box O1,-0.433274663,6.431862065,-6.060062903,8.17E-08,5.96E-05,7.797922799,1,24.11
200941_at,HSBP1,heat shock factor binding protein 1,0.401265403,7.255290397,6.059661587,8.18E-08,5.96E-05,7.796444568,0,12.94
202298_at,NDUFA1,NADH:ubiquinone oxidoreductase subunit A1,0.539719204,7.939316771,6.052903994,8.40E-08,6.03E-05,7.771556608,0,39.95
205842_s_at,JAK2,Janus kinase 2,0.765902258,6.341046916,6.048220288,8.56E-08,6.06E-05,7.754310407,0,6.01
240964_at,PTEN,phosphatase and tensin homolog,0.696779856,6.303897452,6.044305812,8.69E-08,6.08E-05,7.739898984,0,25.03
205681_at,BCL2A1,BCL2 related protein A1,1.328448318,6.145574874,6.014477477,9.77E-08,6.75E-05,7.630154637,0,19.97
217962_at,NOP10,NOP10 ribonucleoprotein,0.578147485,8.341419591,5.998965186,1.04E-07,7.00E-05,7.573132015,0,25.99
226082_s_at,SCAF4,SR-related CTD associated factor 4,-0.471536443,8.66216609,-5.998509526,1.04E-07,7.00E-05,7.571457551,1,8.38
217971_at,LAMTOR3,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 3",0.883607756,5.855599545,5.994584926,1.06E-07,7.02E-05,7.557036642,0,36.99
218482_at,ENY2,ENY2 transcription and export complex 2 subunit,0.478274694,8.342426499,5.979135905,1.12E-07,7.35E-05,7.500291197,0,10.05
226939_at,CPEB2,cytoplasmic polyadenylation element binding protein 2,0.963212246,6.189504017,5.958965264,1.22E-07,7.35E-05,7.426255933,0,33.02
223302_s_at,ZNF655,zinc finger protein 655,-0.270524571,8.451536403,-5.958305262,1.22E-07,7.35E-05,7.423834455,1,24.15
1552536_at,VTI1A,vesicle transport through interaction with t-SNAREs 1A,-0.556382816,8.062814967,-5.957886494,1.22E-07,7.35E-05,7.422298073,1,20.6
221058_s_at,CKLF,chemokine like factor,0.579721174,9.050871312,5.955616858,1.23E-07,7.35E-05,7.413971661,0,11.27
